title,category_name,category_slug,price_uah,weight,pieces,description_items,url,image
Футомак з манго,Футомак,futomak,199,300 гр,,рис; норі; манго; огірок; креветка; сир.,https://sushilubin.com.ua/offer/futomak-z-mango,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=13c42975-034e-421e-8de5-8e7b60ac2c5f
Футомак з печеним лососем,Футомак,futomak,185,,,рис; норі; айсберг; помідор; печена риба; огірок.,https://sushilubin.com.ua/offer/futomak-z-pecenim-lososem,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=c86cc5fd-52e8-4102-b814-88f23dd27a64
Футомак з тунцем (без сиру),Футомак,futomak,215,260 гр,,тунець; масаго; соус япі; огірок; салат хіяші; цибулька зелена; норі; рис.,https://sushilubin.com.ua/offer/futomak-z-tuncem-bez-siru,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=73800dfd-960a-4509-a7b7-a67dea873440
Футомак з восьминіжкою,Футомак,futomak,199,280 гр,,бейбі восьминіжка; огірок; салат вакаме; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/futomak-z-vosminizkou,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=82a459ab-adae-45ec-b812-7530c77551ec
Американо,Гарячі напої,garaci-napoi,30,,1,,https://sushilubin.com.ua/offer/amerikano,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Американо з молоком,Гарячі напої,garaci-napoi,35,,1,,https://sushilubin.com.ua/offer/amerikano-z-molokom,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Чай у асортименті,Гарячі напої,garaci-napoi,40,,,,https://sushilubin.com.ua/offer/caj-u-asortimenti,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Еспресо,Гарячі напої,garaci-napoi,25,,1,,https://sushilubin.com.ua/offer/espreso,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Лате,Гарячі напої,garaci-napoi,60,,1,,https://sushilubin.com.ua/offer/late,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Хосомаки з хіяші,Хосомаки,hosomaki,99,180 гр,8,хіяші; кунжут; горіховий соус; норі; рис.,https://sushilubin.com.ua/offer/hosomaki-z-hiasi,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fhosomaki%2F_.jpg?alt=media&token=107e192f-393a-41be-b7ab-558ea8cce44e
Хосомаки з креветкою,Хосомаки,hosomaki,170,180 гр,8,креветка; норі; рис.,https://sushilubin.com.ua/offer/hosomaki-z-krevetka,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Хосомаки з лососем,Хосомаки,hosomaki,150,180 гр,8,лосось; рис; норі.,https://sushilubin.com.ua/offer/hosomaki-z-lososem,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fhosomaki%2F_.jpg?alt=media&token=9c098b4c-153f-48e2-b350-a1ce3b857544
Хосомаки з масляною,Хосомаки,hosomaki,130,180 гр,8,масляна; норі; рис.,https://sushilubin.com.ua/offer/hosomaki-z-maslanou,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fhosomaki%2F_.jpg?alt=media&token=216cb778-656a-42f3-b266-444a78de8778
Хосомаки з огірком,Хосомаки,hosomaki,99,180 гр,8,огірок; норі; рис.,https://sushilubin.com.ua/offer/hosomaki-z-ogirkom,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Хосомаки з сиром,Хосомаки,hosomaki,115,180 гр,8,крем - сир; моцарела; норі; рис.,https://sushilubin.com.ua/offer/hosomaki-z-sirom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fhosomaki%2F_.jpg?alt=media&token=417a2200-4df1-4c0a-b427-1b9ab881d06c
Фітнес із масаго,Інші роли,insi-roli,290,240 гр,,лосось; масаго; огірок; норі; рис; крабове мясо; авокадо,https://sushilubin.com.ua/offer/fitnes-iz-masago,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Finsi-roli%2F_.jpg?alt=media&token=046a2076-a3b0-4b27-878e-11d3367e1b4a
Фітнес із смаженою креветкою,Інші роли,insi-roli,290,190 гр,,смажена креветка; манго; рис; норі; авокадо; огірок.,https://sushilubin.com.ua/offer/fitnes-iz-smazenou-krevetkou,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Finsi-roli%2F_.jpg?alt=media&token=e77b63db-2979-4f44-937a-9a3e243698a5
Фітнес з лососем,Інші роли,insi-roli,290,190 гр,,авокадо; лосось; норі; крабове мясо; огірк.,https://sushilubin.com.ua/offer/fitnes-z-lososem,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Finsi-roli%2F_.jpg?alt=media&token=6ca3da11-15a2-47dc-a081-aff0565a4738
Мемонорі краб,Інші роли,insi-roli,185,280-300 гр,,соєвий папір; крем-сир; крабове м'ясо; ікра масаго; огірок; соус япі.,https://sushilubin.com.ua/offer/memonori-krab,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Finsi-roli%2F_.jpg?alt=media&token=168f0f9b-0f1a-49cd-a1ee-4e91eae8c795
Мідія спайсі,Інші роли,insi-roli,145,300 гр,,Норі; рис; соус спайсі; Мідія; айзберг; огірок,https://sushilubin.com.ua/offer/midia-spajsi,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Finsi-roli%2F_.jpg?alt=media&token=886feef6-70a8-45a5-9eaf-8f72526ad29e
Сяке з чука салатом,Інші роли,insi-roli,215,300-330 гр,,лосось; огірок; крем-сир; кунжут; горіховий соус; салат вакаме; норі; рис.,https://sushilubin.com.ua/offer/sake-z-cuka-salatom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Finsi-roli%2F_.jpg?alt=media&token=64701ac3-1e42-4dbf-978f-f3626189c2b7
Тунець з чука салатом,Інші роли,insi-roli,229,300-330 гр,,тунець; авокадо; крем-сир; кунжут; горіховий соус; салат вакаме; норі; рис.,https://sushilubin.com.ua/offer/tunec-z-cuka-salatom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Finsi-roli%2F_.jpg?alt=media&token=97366df2-f672-4874-8a99-52b7d3974d9e
Каліфорнія Black Rice,Каліфорнія,kalifornia,230,300-330 гр,,лосось слабосолений; огірок; крем-сир; масаго; норі; рис чорний.,https://sushilubin.com.ua/offer/kalifornia-black-rice,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fkalifornia%2F_Black_Rice.jpg?alt=media&token=d2d15ed9-bf99-4a52-8cd2-8a6b62505557
Каліфорнія доре (без сиру),Каліфорнія,kalifornia,220,280-300 гр,,лосось слабосолений; огірок; авокадо; масаго ікра; норі; рис.,https://sushilubin.com.ua/offer/kalifornia-dore-bez-siru,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fkalifornia%2F_.jpg?alt=media&token=9b8f67fc-66b1-478a-ac06-d3621059bd79
Каліфорнія краб,Каліфорнія,kalifornia,199,,,рис; норі; краб; сир; огірок; ікра масаго.,https://sushilubin.com.ua/offer/kalifornia-krab,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fkalifornia%2F_.jpg?alt=media&token=6ff53675-c024-4103-b7e3-927bc180da35
Каліфорнія креветка,Каліфорнія,kalifornia,230,300-330 гр,,креветка; авокадо; масаго; огірок; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/kalifornia-krevetka,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fkalifornia%2F_.jpg?alt=media&token=65d4e986-87cd-4d7b-9d5b-69385616da57
Каліфорнія огайо,Каліфорнія,kalifornia,200,300-330 гр,,лосось; огірок; крем-сир; масаго орандж; норі; рис.,https://sushilubin.com.ua/offer/kalifornia-ogajo,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fkalifornia%2F_.jpg?alt=media&token=ed8dc84f-3c15-4e0d-a566-9fbc8e06d1cd
Каліфорнія сакура Black Rice,Каліфорнія,kalifornia,249,300-330 гр,,креветка; авокадо; огірок; крем-сир; норі; рис чорний; лососева ікра.,https://sushilubin.com.ua/offer/kalifornia-sakura-black-rice,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fkalifornia%2F_Black_Rice.jpg?alt=media&token=d2ab3766-d8d6-45fe-a4b9-539f00d9c141
Каліфорнія сакура лосось,Каліфорнія,kalifornia,235,300-330 гр,,лосось слабосолений; авокадо; ікра масаго; крем-сир; лососева ікра; норі; рис.,https://sushilubin.com.ua/offer/kalifornia-sakura-losos,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fkalifornia%2F_.jpg?alt=media&token=1bf1af53-984a-45fe-ba20-f6aed312707c
Каліфорнія Tuna,Каліфорнія,kalifornia,199,300-330 гр,,тунець; авокадо; крем-сир; масаго червоне; норі; рис.,https://sushilubin.com.ua/offer/kalifornia-tuna,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fkalifornia%2F_Tuna.jpg?alt=media&token=386985c9-8a1d-45ef-854d-488882a5b6b2
Мікс № 1,Набори фрі,nabori-fri,519,120 гр,1,,https://sushilubin.com.ua/offer/miks-№-1,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fnabori-fri%2F_1.jpg?alt=media&token=33aad862-0dc8-4c19-bff0-138faa6b331f
Мікс № 2,Набори фрі,nabori-fri,335,120 гр,1,,https://sushilubin.com.ua/offer/miks-№-2,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fnabori-fri%2F_2.jpg?alt=media&token=a75297e1-8e40-4025-9092-0b6607de884d
Мікс № 3,Набори фрі,nabori-fri,399,120 гр,1,,https://sushilubin.com.ua/offer/miks-№-3,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fnabori-fri%2F_3.jpg?alt=media&token=06246ab8-ed26-41eb-bf5b-d94845614600
"Фанта 0,33 л.",Напої,napoi,45,,,,https://sushilubin.com.ua/offer/fanta-033-l,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fnapoi%2F_0_33_..jpg?alt=media&token=2235465b-3970-4515-b626-c8ed64a2862f
"Кола 0,33 л",Напої,napoi,45,,,,https://sushilubin.com.ua/offer/kola-033-l,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fnapoi%2F_0_33_.jpg?alt=media&token=0f9eea33-9dcc-4014-b698-486bc087285d
Моршинська,Напої,napoi,35,,,,https://sushilubin.com.ua/offer/morsinska,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fnapoi%2F_.jpg?alt=media&token=c6f64fef-5947-4e61-9311-f4f6da3ca784
Сік дитячий,Напої,napoi,40,,1,,https://sushilubin.com.ua/offer/sik-rich-ditacij,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fnapoi%2F_.jpg?alt=media&token=3066ed6a-1786-4524-9ca8-5c6fd57d67ea
Сік у асортименті,Напої,napoi,99,,,,https://sushilubin.com.ua/offer/sik-rich-u-asortimenti,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fnapoi%2F_.jpg?alt=media&token=409e8039-3679-447e-a1f7-bb424c92da95
Спрайт,Напої,napoi,45,,,,https://sushilubin.com.ua/offer/sprajt,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fnapoi%2F_.jpg?alt=media&token=14313419-e808-48c6-ae4b-b7f31f07fe4d
Сяке в кунжуті,Роли у кунжуті та стружці тунця,roli-u-kunzuti-ta-struzci-tunca,215,300-330 гр,,лосось слабосолений; авокадо; кунжут; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/sake-v-kunzuti,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Froli-u-kunzuti-ta-struzci-tunca%2F_.jpg?alt=media&token=f6ffd1bf-f698-471c-a259-a259c411b10c
Сяке з печеним лососем,Роли у кунжуті та стружці тунця,roli-u-kunzuti-ta-struzci-tunca,175,300-330 гр,,печений лосось; огірок; кунжут; кремсир; горіховий соус; норі; рис.,https://sushilubin.com.ua/offer/sake-z-pecenim-lososem,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Froli-u-kunzuti-ta-struzci-tunca%2F_.jpg?alt=media&token=4666ece1-3de8-46e3-9791-e8ff068c0afb
Сапі з лососем,Роли у кунжуті та стружці тунця,roli-u-kunzuti-ta-struzci-tunca,190,280-300 гр,,лосось; соус унагі; огірок стружка тунця; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/sapi-z-lososem,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Froli-u-kunzuti-ta-struzci-tunca%2F_.jpg?alt=media&token=ae9c1dcd-da23-46fb-889d-a57ea7df2870
Сапі з печеним лососем,Роли у кунжуті та стружці тунця,roli-u-kunzuti-ta-struzci-tunca,170,280-300 гр,,гриль лосось; соус унагі; огірок; стружка тунця; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/sapi-z-pecenim-lososem,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Froli-u-kunzuti-ta-struzci-tunca%2F_.jpg?alt=media&token=7a70f34d-d970-4747-ba21-f8f3be94f1ef
Сапі з вугром,Роли у кунжуті та стружці тунця,roli-u-kunzuti-ta-struzci-tunca,220,280-300 гр,,вугор; соус унагі; авокадо; стружка тунця; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/sapi-z-vugrom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Froli-u-kunzuti-ta-struzci-tunca%2F_.jpg?alt=media&token=693d126b-331f-41b3-b933-46a2e52ba084
Тунець у стружці,Роли у кунжуті та стружці тунця,roli-u-kunzuti-ta-struzci-tunca,199,280-300 гр,,тунець; соус унагі; авокадо; стружка тунця; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/tunec-u-struzci,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Froli-u-kunzuti-ta-struzci-tunca%2F_.jpg?alt=media&token=ba7f4628-893b-48ee-bbb3-a32fd8652e99
Тунець в кунжуті,Роли у кунжуті та стружці тунця,roli-u-kunzuti-ta-struzci-tunca,205,300-330 гр,,тунець; айзберг; кунжут; крем-сир; горіховий соус; норі; рис.,https://sushilubin.com.ua/offer/tunec-v-kunzuti,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Froli-u-kunzuti-ta-struzci-tunca%2F_.jpg?alt=media&token=a70ecd1c-0a99-4c73-9a72-018c26592474
Унагі в кунжуті,Роли у кунжуті та стружці тунця,roli-u-kunzuti-ta-struzci-tunca,225,300-330 гр,,вугор; соус унагі; авокадо; кунжут; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/unagi-v-kunzuti,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Froli-u-kunzuti-ta-struzci-tunca%2F_.jpg?alt=media&token=a710e249-02df-4636-bca1-23bfe55ae9e4
Сет № 1,Сети,seti,399,640 гр,16,Філадельфія класична;; Чіз з печеним лососем;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-1,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_1.jpg?alt=media&token=30ea971d-238a-49d9-902e-cc421f25cf62
Сет № 10,Сети,seti,799,1.4 кг,40,Мемонорі краб;; Сакура хіяші;; Філадельфія класична;; Філадельфія грін печений лосось;; Сирний три сира;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-10,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_10.jpg?alt=media&token=5491fc86-08a2-4a14-bd66-1a802c44c9ba
Сет № 11,Сети,seti,879,1.2 кг,32,Сирний Black Lemon;; Рол Бостон;; Каліфорнія креветка;; Філадельфія класична;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-11,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_11.jpg?alt=media&token=f13fb4f4-da36-46f1-9ecf-f4956bf62de3
Сет № 12,Сети,seti,889,1.2 кг,32,Сирний Black Lemon;; Філадельфія манго;; Філадельфія вугор огірок;; Футомак Grandee;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-12,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_12.jpg?alt=media&token=ac167bd4-2b25-4ae0-a50d-54e57c8536c1
Сет № 13,Сети,seti,929,1.5 кг,40,Філадельфія класична;; Каліфорнія огайо;; Філадельфія грін печений лосось;; Сирний 2д;; Футомак з креветкою;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-13,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_13.jpg?alt=media&token=99265087-e583-40c6-97f1-75de91d92338
Сет № 14,Сети,seti,950,1.5 кг,40,Футомак з креветкою;; Каліфорнія креветка;; Сирний 2д;; Філадельфія класична;; Філадельфія грін печений лосось;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-14,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_14.jpg?alt=media&token=6d345329-6fee-43a9-9654-cc8597b07b57
Сет № 15,Сети,seti,915,1.2 кг,32,Філадельфія тунець;; Зелений Дракон;; Каліфорнія огайо;; Каліфорнія блек райс;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-15,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_15.jpg?alt=media&token=3d455c7e-961e-4b82-8b38-63d39fc640b2
Сет № 16,Сети,seti,959,1.5 кг,40,Тунець в стружчі тунця;; Сяке з чука салатом;; Філадельфія класична;; Сяке в кунжуті печений лосось;; Сапі з лососем;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-16,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_16.jpg?alt=media&token=e3bb376a-9d8d-4340-ab21-fefef66c5b2c
Сет № 17,Сети,seti,999,1.5 кг,40,Сирний з вугром;; Каліфорнія креветка;; Філадельфія грін печений лосось;; Філадельфія авокадо;; Футомак з креветкою;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-17,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_17.jpg?alt=media&token=fe321439-aad5-4bed-9400-370970645384
Сет № 18,Сети,seti,1089,1.8 кг,48,Філадельфія класична;; Сирний 2 д;; Каліфорнія креветка;; Філадельфія грін печений лосось;; Сакура хіяші;; Футомак грецький;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-18,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_18.jpg?alt=media&token=1ecf50f6-e880-49ff-a20c-584c7a027c44
Сет № 19,Сети,seti,1110,1.9 кг,48,Філадельфія класична;; Сирний три сира;; Сяке в кунжуті;; Каліфорнія огайо;; Каліфорнія креветка;; Чіз з печеним лососем;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-19,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_19.jpg?alt=media&token=cca33861-ff0e-4887-afdb-0a435b0dd25b
Сет № 2,Сети,seti,560,0.9 кг,24,Сирний три сира;; Філадельфія класична;; Футомак лосось без сиру;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-2,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_2.jpg?alt=media&token=a88d9b4e-374c-436c-bfdf-6817f628bc3d
Сет № 20,Сети,seti,1199,1.88 кг,48,Каліфорнія креветка;; Філадельфія манго;; Філадельфія класична;; Сяке з чука салатом;; Футомак Бостон 1/2 порції;; Футомак з восьменіжкою 1/2 порції;; Сирний три сира;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-20,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_20.jpg?alt=media&token=a0d18fe9-a33b-4e1b-81e5-a7e89a716b7b
Сет № 21,Сети,seti,1400,2.1 кг,56,Філадельфія класична;; Філадельфія класична;; Каліфорнія креветка;; Каліфорнія огайо;; Сирний три сира;; Чіз з печеним лососем;; Сяке з лососем;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-21,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_21.jpg?alt=media&token=247fc90d-cd0a-4101-b5ca-f6f1967d4732
Сет № 3,Сети,seti,600,0.9 кг,24,Філадельфія класична;; Каліфорнія креветка;; Футомак грецький;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-3,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_3.jpg?alt=media&token=299aae53-620c-4d4a-ab28-fd4078786eeb
Сет № 4,Сети,seti,605,880-900 гр,24,Пармеджано;; Філадельфія класична;; Каліфорнія доре без сиру;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-4,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_4.jpg?alt=media&token=abc0d057-c2e1-40b5-8cb6-03160d2b7445
Сет № 5,Сети,seti,689,0.9 кг,24,Філадельфія класична;; Філадельфія авокадо;; Каліфорнія сакура лосось;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-5,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_5.jpg?alt=media&token=f946b58b-8988-42b6-83e9-460e60a0205b
Сет № 6,Сети,seti,720,1.2 кг,32,Філадельфія класична;; Футомак хіяші;; Каліфорнія креветка;; Тунець з чука салатом;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-6,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_6.jpg?alt=media&token=bb6ac5a6-fd67-4652-bc1e-3363bdd12d12
Сет № 7,Сети,seti,780,1.180 кг,32,Футомак з лососем без сиру;; Філадельфія класична;; Каліфорнія доре без сиру;; Сирний 2д;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-7,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_7.jpg?alt=media&token=1999f704-3074-4db0-a461-41d31981ee91
Сет № 8,Сети,seti,799,1.3 кг,40,Хосомаки хіяші;; Філадельфія класична;; Каліфорнія креветка;; Сирний три сира;; Сакура хіяші;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-8,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_8.jpg?alt=media&token=309b4937-2dd4-4a7a-aa79-9855ea14e342
Сет № 9,Сети,seti,779,1.2 кг,32,Пармеджано;; Філадельфія грін печений лосось;; Унагі в кунжуті;; Філадельфія класична;; Прибори та соєвий соус.,https://sushilubin.com.ua/offer/set-№-9,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fseti%2F_9.jpg?alt=media&token=0515de7e-6613-44c1-a342-7b87ef15cf1c
Сирний 2д,Сирні роли,sirni-roli,160,300-330 гр,,крем-сир; сир хохланд; унагі соус; кунжут; норі; рис.,https://sushilubin.com.ua/offer/sirnij-2d,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fsirni-roli%2F_2_.jpg?alt=media&token=1e526875-d2a2-45b2-a988-2c7c1519c391
Сирний Black Lemon,Сирні роли,sirni-roli,174,300-330 гр,,сир Black Lemon; сир хохланд; крем-сир; сир моцарела; соус унагі; норі; рис.,https://sushilubin.com.ua/offer/sirnij-black-lemon,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fsirni-roli%2F_Black_Lemon.jpg?alt=media&token=cbe5d674-e868-49e8-8b2f-3fb614fbfbc0
Сирний пармеджано,Сирні роли,sirni-roli,164,300-330 гр,,помідор; моцарела; крем-сир; сир хохланд; соус унагі; пармезан; норі; рис.,https://sushilubin.com.ua/offer/sirnij-parmedzano,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fsirni-roli%2F_.jpg?alt=media&token=49922e25-0d66-4eed-aacb-008f71b03f94
Сирний три сира,Сирні роли,sirni-roli,150,300-330 гр,,крем-сир; сир моцарела; сир фета; кунжут; норі; рис.,https://sushilubin.com.ua/offer/sirnij-tri-sira,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fsirni-roli%2F_.jpg?alt=media&token=43cce563-1058-430d-8995-aee612b67672
Сирний з вугром,Сирні роли,sirni-roli,200,300-330 гр,,вугор; крем-сир; сир хохланд; соус унагі; мигдалеві пластівці; норі; рис.,https://sushilubin.com.ua/offer/sirnij-z-vugrom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fsirni-roli%2F_.jpg?alt=media&token=d52a4978-2383-44e5-8722-30da9aa759b5
Цибулеві кільця зі соусом,Снеки,sneki,130,,10,,https://sushilubin.com.ua/offer/cibulevi-kilca,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fsneki%2F_.jpg?alt=media&token=1e68085a-1f5d-40e8-a38a-49b16f1723c2
Картопля фрі,Снеки,sneki,79,120 гр,,,https://sushilubin.com.ua/offer/kartopla-fri,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fsneki%2F_.jpg?alt=media&token=9771b06b-5ede-4f42-b13e-5b48ee420216
Картопля скибками тоскана,Снеки,sneki,89,120 гр,,,https://sushilubin.com.ua/offer/kartopla-skibkami-toskana,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Кетчуп,Снеки,sneki,20,,1,,https://sushilubin.com.ua/offer/kecup,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Креветки в темпурі,Снеки,sneki,250,,6,,https://sushilubin.com.ua/offer/krevetki-v-tempuri,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fsneki%2F_.jpg?alt=media&token=cf0eb856-9b4f-468f-a13b-e8f1129eede0
Кріпси зі соусом,Снеки,sneki,180,,4,,https://sushilubin.com.ua/offer/krispi,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fsneki%2F_.jpg?alt=media&token=c51a747b-476b-4eb2-bb5b-1910ebdeeade
